number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_escalador,params_l1_ratio,params_penalty,state
129,0.3327556518472815,2026-08-15 00:17:30.690592,2026-08-15 00:17:31.134170,0 days 00:00:00.443578,0.0010912911036839738,balanced,robust,,l2,COMPLETE
130,0.18881213598808075,2026-08-15 00:17:31.140936,2026-08-15 00:17:31.292879,0 days 00:00:00.151943,0.00022197386657774992,balanced,robust,,l1,COMPLETE
131,0.3364666663485747,2026-08-15 00:17:31.299258,2026-08-15 00:17:31.746827,0 days 00:00:00.447569,0.00010644755008954689,balanced,robust,,l2,COMPLETE
132,0.33363975946132957,2026-08-15 00:17:31.753175,2026-08-15 00:17:32.189820,0 days 00:00:00.436645,0.00012193709490443812,balanced,robust,,l2,COMPLETE
133,0.3364720954746719,2026-08-15 00:17:32.197096,2026-08-15 00:17:32.634541,0 days 00:00:00.437445,0.00010756204298471881,balanced,robust,,l2,COMPLETE
134,0.3340603589419775,2026-08-15 00:17:32.640639,2026-08-15 00:17:33.038786,0 days 00:00:00.398147,0.0002863319926882798,balanced,standard,,l2,COMPLETE
135,0.3322206493889695,2026-08-15 00:17:33.045623,2026-08-15 00:17:33.483509,0 days 00:00:00.437886,0.001364819982669815,balanced,robust,,l2,COMPLETE
136,0.3368334170084717,2026-08-15 00:17:33.491850,2026-08-15 00:17:33.933619,0 days 00:00:00.441769,0.00010610720526934446,balanced,robust,,l2,COMPLETE
137,0.30257083935193346,2026-08-15 00:17:33.940086,2026-08-15 00:17:34.379681,0 days 00:00:00.439595,0.0004171127847836153,none,robust,,l2,COMPLETE
138,0.336814080478697,2026-08-15 00:17:34.386377,2026-08-15 00:17:34.823106,0 days 00:00:00.436729,0.00011297087978861354,balanced,robust,,l2,COMPLETE
139,0.3360591892009533,2026-08-15 00:17:34.830348,2026-08-15 00:17:35.268876,0 days 00:00:00.438528,0.00011130492596147896,balanced,robust,,l2,COMPLETE
140,0.31823171435677694,2026-08-15 00:17:35.274557,2026-08-15 00:17:40.444736,0 days 00:00:05.170179,0.5752827242114985,none,robust,0.29940211700435826,elasticnet,COMPLETE
141,0.33363975946132957,2026-08-15 00:17:40.452456,2026-08-15 00:17:40.905919,0 days 00:00:00.453463,0.00012221544002931275,balanced,robust,,l2,COMPLETE
142,0.3327271018520185,2026-08-15 00:17:40.912938,2026-08-15 00:17:41.361510,0 days 00:00:00.448572,0.001545906779428604,balanced,robust,,l2,COMPLETE
143,0.33402635347698073,2026-08-15 00:17:41.367446,2026-08-15 00:17:41.803404,0 days 00:00:00.435958,0.00012088079098170567,balanced,robust,,l2,COMPLETE
144,0.3334210537785513,2026-08-15 00:17:41.811254,2026-08-15 00:17:42.258304,0 days 00:00:00.447050,0.0011900999053873367,balanced,robust,,l2,COMPLETE
145,0.33438976269125337,2026-08-15 00:17:42.265193,2026-08-15 00:17:42.702275,0 days 00:00:00.437082,0.00012770236687556375,balanced,robust,,l2,COMPLETE
146,0.33683289494870383,2026-08-15 00:17:42.708067,2026-08-15 00:17:43.144795,0 days 00:00:00.436728,0.00010273331056938201,balanced,robust,,l2,COMPLETE
147,0.3364666663485747,2026-08-15 00:17:43.151692,2026-08-15 00:17:43.588769,0 days 00:00:00.437077,0.00010636799200043902,balanced,robust,,l2,COMPLETE
148,0.33363975946132957,2026-08-15 00:17:43.595383,2026-08-15 00:17:44.031948,0 days 00:00:00.436565,0.00012222502015291265,balanced,robust,,l2,COMPLETE
149,0.3232293808348153,2026-08-15 00:17:44.037877,2026-08-15 00:17:47.858907,0 days 00:00:03.821030,44.891246074942366,none,standard,0.5455318850894016,elasticnet,COMPLETE
