config_id,modelo,tipo,ticker,experimento,n_features,C,l1_ratio,n_seeds,val_f1_macro,val_f1_buy,val_f1_sell,test_f1_macro,test_f1_buy,test_f1_hold,test_f1_sell,test_f1_buy_sell_avg,test_accuracy,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
LR-02-elasticnet-all,LogisticRegression,por_ticker,GOOGL,B,61,0.1,0.2,5,0.3752,0.1915,0.4433,0.387,0.315,0.4481,0.3978,0.3564,0.3952,19.8,34.3,46.0,-0.0994,-0.7627,-0.3744,-0.3558,0.5031,0.9254
LR-02-elasticnet-all,LogisticRegression,por_ticker,META,B,61,0.01,0.5,5,0.3566,0.2969,0.2791,0.3865,0.3576,0.5479,0.254,0.3058,0.4153,31.9,49.6,18.5,-0.0918,-0.2066,-0.3038,-0.3341,0.424,0.926
LR-02-elasticnet-all,LogisticRegression,global,GLOBAL,B,61,0.01,0.8,5,0.3636,0.301,0.3143,0.4167,0.3527,0.5516,0.3459,0.3493,0.4407,23.3,48.3,28.4,20.5587,17.3595,1.2516,-0.4191,0.5156,1.378
LR-02-elasticnet-all,LogisticRegression,por_ticker,AAPL,C,61,0.1,0.5,5,0.3465,0.281,0.2585,0.3686,0.3172,0.4831,0.3056,0.3114,0.3831,32.7,39.9,27.4,0.1952,0.0703,0.6111,-0.1285,0.5168,1.1663
LR-02-elasticnet-all,LogisticRegression,por_ticker,NVDA,C,61,0.01,0.5,5,0.3192,0.2256,0.2968,0.299,0.0,0.4787,0.4184,0.2092,0.3831,0.4,27.8,71.8,-0.0738,-0.4301,-0.1636,-0.4478,0.4804,0.9662
LR-02-elasticnet-all,LogisticRegression,por_ticker,TSLA,C,61,1.0,0.2,5,0.3519,0.2373,0.3669,0.3587,0.256,0.4222,0.3979,0.327,0.371,22.6,29.0,48.4,0.307,0.1088,0.4696,-0.381,0.4886,1.1005
LR-02-elasticnet-all,LogisticRegression,por_ticker,AMZN,C,61,10.0,0.2,5,0.351,0.1163,0.3905,0.379,0.2569,0.4565,0.4236,0.3403,0.3992,14.9,34.7,50.4,0.1902,0.1343,0.5976,-0.2065,0.5309,1.1406
LR-02-elasticnet-all,LogisticRegression,por_ticker,MSFT,C,61,0.1,0.5,5,0.3402,0.2205,0.3204,0.3824,0.2456,0.5622,0.3394,0.2925,0.4153,18.5,45.2,36.3,-0.1048,-0.278,-0.5221,-0.311,0.4118,0.879
LR-02-elasticnet-all,LogisticRegression,por_ticker,GOOGL,C,61,1.0,0.8,5,0.3502,0.1395,0.4312,0.3563,0.3857,0.2707,0.4126,0.3991,0.3669,25.0,14.1,60.9,0.2375,-0.4258,0.6858,-0.3522,0.5352,1.135
LR-02-elasticnet-all,LogisticRegression,por_ticker,META,C,61,0.01,0.5,5,0.2776,0.3636,0.0,0.3572,0.3827,0.4952,0.1935,0.2881,0.3831,36.3,46.0,17.7,-0.3261,-0.4409,-1.2998,-0.442,0.4179,0.7307
LR-02-elasticnet-all,LogisticRegression,global,GLOBAL,C,61,0.01,0.8,5,0.3704,0.306,0.3288,0.3955,0.3355,0.5406,0.3104,0.3229,0.4217,25.6,48.6,25.7,4.2426,1.0434,0.683,-0.4998,0.5022,1.1939
